,1p.prs,1p.pst,3p.prs,3p.pst,count
1572,castle,castled,castles,castled,0
1573,rouge,rouged,rouges,rouged,6084449
1574,rough,roughed,roughs,roughed,11557184
1575,castrate,castrated,castrates,castrated,41263
1576,roughcast,roughcast,roughcasts,roughcast,0
1577,rough-dry,rough-dried,rough-dries,rough-dried,0
1578,roughen,roughened,roughens,roughened,14470
1579,roughhouse,roughhoused,roughhouses,roughhoused,0
1580,round,rounded,rounds,rounded,61836702
1581,catalogue,catalogued,catalogues,catalogued,0
1582,catapult,catapulted,catapults,catapulted,0
1583,catcall,catcalled,catcalls,catcalled,0
1584,catch,caught,catches,caught,20400979
1585,rouse,roused,rouses,roused,0
1586,rout,routed,routs,routed,0
1587,catechize,catechized,catechizes,catechized,0
1588,route,routed,routes,routed,0
1589,categorize,categorized,categorizes,categorized,0
1590,cater,catered,caters,catered,2092828
1591,rove,roved,roves,roved,2058665
1592,caterwaul,caterwauled,caterwauls,caterwauled,0
1593,row,rowed,rows,rowed,29649598
1594,row,rowed,rows,rowed,29649598
1595,rub,rubbed,rubs,rubbed,3432829
1596,caucus,caucused,caucuses,caucused,0
1597,rubber,rubbered,rubbers,rubbered,0
1598,rubberize,rubberized,rubberizes,rubberized,0
1599,rubberneck,rubbernecked,rubbernecks,rubbernecked,0
1600,rubber-stamp,rubber-stamped,rubber-stamps,rubber-stamped,0
1601,cause,caused,causes,caused,65904680
1602,rubbish,rubbished,rubbishes,rubbished,2576642
1603,cauterize,cauterized,cauterizes,cauterized,25396
1604,caution,cautioned,cautions,cautioned,0
1605,ruck,rucked,rucks,rucked,225261
1606,ruddle,ruddled,ruddles,ruddled,31830
1607,cavil,cavilled,cavils,cavilled,0
1608,cavort,cavorted,cavorts,cavorted,0
1609,rue,rued,rues,rued,4033203
1610,caw,cawed,caws,cawed,292692
1611,ruff,ruffed,ruffs,ruffed,967030
1612,cease,ceased,ceases,ceased,0
1613,ruffle,ruffled,ruffles,ruffled,617143
1614,cede,ceded,cedes,ceded,205707
1615,celebrate,celebrated,celebrates,celebrated,9010814
1616,ruin,ruined,ruins,ruined,2879219
1617,rule,ruled,rules,ruled,0
1618,rumble,rumbled,rumbles,rumbled,1876665
1619,ruminate,ruminated,ruminates,ruminated,105204
1620,cement,cemented,cements,cemented,0
1621,rummage,rummaged,rummages,rummaged,0
1622,cense,censed,censes,censed,33401
1623,censor,censored,censors,censored,0
1624,rumour,rumoured,rumours,rumoured,0
1625,rumple,rumpled,rumples,rumpled,0
1626,censure,censured,censures,censured,0
1627,run,ran,runs,ran,117213565
1628,centralize,centralized,centralizes,centralized,213418
1629,centre,centred,centres,centred,0
1630,cerebrate,cerebrated,cerebrates,cerebrated,0
1631,rupture,ruptured,ruptures,ruptured,1145976
1632,rush,rushed,rushes,rushed,14684452
1633,certificate,certificated,certificates,certificated,0
1634,certify,certified,certifies,certified,3095645
1635,rust,rusted,rusts,rusted,0
1636,rusticate,rusticated,rusticates,rusticated,0
1637,rustle,rustled,rustles,rustled,0
1638,chafe,chafed,chafes,chafed,118832
1639,chaff,chaffed,chaffs,chaffed,0
1640,rustproof,rustproofed,rustproofs,rustproofed,0
1641,chagrin,chagrined,chagrins,chagrined,0
1642,rut,rutted,ruts,rutted,555550
1643,chain,chained,chains,chained,0
1644,chain-smoke,chain-smoked,chain-smokes,chain-smoked,0
1645,chair,chaired,chairs,chaired,0
1646,chalk,chalked,chalks,chalked,2498505
1647,sabotage,sabotaged,sabotages,sabotaged,0
1648,challenge,challenged,challenges,challenged,0
1649,sabre,sabred,sabres,sabred,1189329
1650,sack,sacked,sacks,sacked,2546938
1651,champ,champed,champs,champed,0
1652,champion,championed,champions,championed,0
1653,sacrifice,sacrificed,sacrifices,sacrificed,0
1654,chance,chanced,chances,chanced,0
1655,sadden,saddened,saddens,saddened,33046
1656,saddle,saddled,saddles,saddled,4499280
1657,change,changed,changes,changed,210601244
1658,channel,channelled,channels,channelled,0
1659,chant,chanted,chants,chanted,0
1660,chap,chapped,chaps,chapped,0
1661,safeguard,safeguarded,safeguards,safeguarded,2484174
1662,chaperon,chaperoned,chaperons,chaperoned,49990
1663,char,charred,chars,charred,19673918
1664,char,charred,chars,charred,19673918
1665,sag,sagged,sags,sagged,1223285
1666,characterize,characterized,characterizes,characterized,2107717
1667,charge,charged,charges,charged,56542418
1668,sail,sailed,sails,sailed,5227908
1669,charm,charmed,charms,charmed,0
1670,salaam,salaamed,salaams,salaamed,772146
1671,chart,charted,charts,charted,0
1672,charter,chartered,charters,chartered,0
1673,chase,chased,chases,chased,0
1674,chasten,chastened,chastens,chastened,21667
1675,chastise,chastised,chastises,chastised,0
1676,salify,salified,salifies,salified,0
1677,chat,chatted,chats,chatted,83625620
1678,chatter,chattered,chatters,chattered,0
1679,salivate,salivated,salivates,salivated,56153
1680,sallow,sallowed,sallows,sallowed,73280
1681,chauffeur,chauffeured,chauffeurs,chauffeured,0
1682,chaw,chawed,chaws,chawed,0
1683,cheapen,cheapened,cheapens,cheapened,68892
1684,salt,salted,salts,salted,0
1685,cheat,cheated,cheats,cheated,9903572
1686,check,checked,checks,checked,244491090
1687,checkmate,checkmated,checkmates,checkmated,326448
1688,salute,saluted,salutes,saluted,0
1689,salvage,salvaged,salvages,salvaged,0
1690,salve,salved,salves,salved,423303
1691,cheek,cheeked,cheeks,cheeked,2681029
1692,cheep,cheeped,cheeps,cheeped,411919
1693,cheer,cheered,cheers,cheered,0
1694,sample,sampled,samples,sampled,0
1695,sanctify,sanctified,sanctifies,sanctified,183358
1696,sanction,sanctioned,sanctions,sanctioned,0
1697,sand,sanded,sands,sanded,16327687
1698,sandbag,sandbagged,sandbags,sandbagged,86846
1699,sandblast,sandblasted,sandblasts,sandblasted,0
1700,chequer,chequered,chequers,chequered,0
1701,cherish,cherished,cherishes,cherished,1056520
1702,sandpaper,sandpapered,sandpapers,sandpapered,0
1703,sandwich,sandwiched,sandwiches,sandwiched,0
1704,chew,chewed,chews,chewed,1946052
1705,chicane,chicaned,chicanes,chicaned,0
1706,sap,sapped,saps,sapped,7694814
1707,chide,chided,chides,chided,66368
1708,sashay,sashayed,sashays,sashayed,30994
1709,sass,sassed,sasses,sassed,525529
1710,chill,chilled,chills,chilled,0
1711,sate,sated,sates,sated,241366
1712,chime,chimed,chimes,chimed,0
1713,satiate,satiated,satiates,satiated,52091
1714,satirize,satirized,satirizes,satirized,23576
1715,satisfy,satisfied,satisfies,satisfied,0
1716,saturate,saturated,saturates,saturated,213934
1717,chink,chinked,chinks,chinked,131531
1718,sauce,sauced,sauces,sauced,10968629
1719,chip,chipped,chips,chipped,0
1720,saunter,sauntered,saunters,sauntered,60109
1721,saute,sauteed,sautes,sauteed,546457
1722,chirp,chirped,chirps,chirped,240510
1723,chirrup,chirruped,chirrups,chirruped,0
1724,savage,savaged,savages,savaged,5205858
1725,chisel,chiselled,chisels,chiselled,0
1726,save,saved,saves,saved,186091095
1727,chivy,chivied,chivies,chivied,0
1728,chlorinate,chlorinated,chlorinates,chlorinated,0
1729,chloroform,chloroformed,chloroforms,chloroformed,0
1730,savour,savoured,savours,savoured,268503
1731,chock,chocked,chocks,chocked,508651
1732,savvy,savvied,savvies,savvied,3140230
1733,saw,sawed,saws,sawed,48544776
1734,choke,choked,chokes,choked,1448146
1735,say,said,says,said,0
1736,chomp,chomped,chomps,chomped,263066
1737,choose,chose,chooses,chose,90010174
1738,scab,scabbed,scabs,scabbed,327970
1739,chop,chopped,chops,chopped,2315541
1740,scald,scalded,scalds,scalded,101839
1741,scale,scaled,scales,scaled,0
1742,scallop,scalloped,scallops,scalloped,459709
